London, 51.5072, -0.1275, United Kingdom, GB, London, City of, primary, 11262000, 8825001
Birmingham, 52.4800, -1.9025, United Kingdom, GB, Birmingham, , 2919600, 1137100
Portsmouth, 50.8058, -1.0872, United Kingdom, GB, Portsmouth, , 855679, 248440
Southampton, 50.9025, -1.4042, United Kingdom, GB, Southampton, , 855569, 271173
Nottingham, 52.9561, -1.1512, United Kingdom, GB, Nottingham, , 729977, 289301
Bristol, 51.4536, -2.5975, United Kingdom, GB, Bristol, City of, , 707412, 472465
Manchester, 53.4790, -2.2452, United Kingdom, GB, Manchester, , 547627, 547627
Liverpool, 53.4094, -2.9785, United Kingdom, GB, Liverpool, , 513441, 513441
Leicester, 52.6344, -1.1319, United Kingdom, GB, Leicester, , 508916, 464395
Worthing, 50.8147, -0.3714, United Kingdom, GB, West Sussex, , 474485, 109120
Coventry, 52.4081, -1.5106, United Kingdom, GB, Coventry, , 362690, 362690
Belfast, 54.5964, -5.9300, United Kingdom, GB, Belfast, , 345006, 345006
Bradford, 53.8000, -1.7500, United Kingdom, GB, Bradford, , 293277, 293277
Derby, 52.9247, -1.4780, United Kingdom, GB, Derby, , 270468, 255394
Plymouth, 50.3714, -4.1422, United Kingdom, GB, Plymouth, , 267918, 267918
Westminster, 51.4947, -0.1353, United Kingdom, GB, Westminster, , 255324, 255324
Wolverhampton, 52.5833, -2.1333, United Kingdom, GB, Wolverhampton, , 250970, 250970
Northampton, 52.2304, -0.8938, United Kingdom, GB, Northamptonshire, , 245899, 245899
Norwich, 52.6286, 1.2928, United Kingdom, GB, Norfolk, , 213166, 195971
Luton, 51.8783, -0.4147, United Kingdom, GB, Luton, , 213052, 213052
Solihull, 52.4130, -1.7780, United Kingdom, GB, Solihull, , 206674, 206674
Islington, 51.5440, -0.1027, United Kingdom, GB, Islington, , 206125, 206125
Aberdeen, 57.1500, -2.1100, United Kingdom, GB, Aberdeen City, , 200680, 200680
